method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,attribution,abs_attribution,ci_width,posterior_std,rank_probability_top_k,n_explained_instances
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0031462454478008305,0.027572513660759083,0.11627638032888125,0.03305123021344648,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7488390723362757,0.7926568438117257,0.0631322687120727,0.01733802650434862,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.3289649602961427,0.537923629878959,0.10325447214542909,0.02853912293265973,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.04230251928933747,0.15713443260770993,0.10408414458002822,0.028825375206671954,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0009065959903707244,0.02401635290654214,0.10581431398412096,0.029954860119401808,1.0,50
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6285567313312141,0.7733325369345152,0.0627934131451262,0.017227080730717496,1.0,50
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.40188868612144885,0.5478470124012289,0.10516032439026624,0.029271093379604464,1.0,50
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0702544716168071,0.1636424512266252,0.11042476422504713,0.030494240373319662,1.0,50
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.004087508980211135,0.02936295266178362,0.1281114687784252,0.03607165193343651,1.0,50
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5539371893952457,0.641413677831959,0.05125001758836888,0.013731742887125144,1.0,50
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.27713171349645666,0.48957319901810803,0.09379670023054237,0.025985785758652638,1.0,50
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.02093728736534068,0.15161691925390205,0.10143315609112147,0.028163310106897595,1.0,50
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0001335347322650962,0.02367688623643281,0.10363588184973616,0.029227658450534277,1.0,50
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7508830493066404,0.8714442915913775,0.07118260701703888,0.019406988387737637,1.0,50
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.27556923705208874,0.5852410485942692,0.11429164856556134,0.03163464847276956,1.0,50
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.057011279332593784,0.19064978673652352,0.12893277741571976,0.035182843391680985,1.0,50
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.002588109736285259,0.029795567213756556,0.13115935342799737,0.03673655045882026,1.0,50
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6789466166718724,0.7978418142107243,0.06363364373924481,0.0177409641563397,1.0,50
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.29028812576527113,0.5341011471973536,0.10186333033587555,0.02836419879824602,1.0,50
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.04172074205902316,0.15167808314071196,0.10193389094982187,0.028070564983444048,1.0,50
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0019005649063194119,0.029899284869576947,0.1331783215454109,0.0375106716934511,1.0,50
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5329621062738321,0.6888900799856188,0.055191800117174346,0.015131243324727347,1.0,50
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.3191660223127306,0.5088182718438026,0.09652031456414656,0.026788069696730962,1.0,50
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.01558006621084639,0.14120700832401542,0.09202521660198976,0.025403030797402935,1.0,50
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.006640402658580195,0.0307380879449996,0.13058728721494192,0.03710764399250069,1.0,50
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6642594767363786,0.7463196451835141,0.06006752271790793,0.016473003043374564,1.0,50
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.22047716505867934,0.43650456200054416,0.08309375653297439,0.02290262780277548,1.0,50
