method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,train_fraction,training_size,mean_posterior_std,mean_ci_width,median_ci_width,mean_sign_confidence,attribution_distance_to_full_train,top_k_jaccard_to_full_train,n_features,n_explained_instances,metric_direction,uncertainty_decrease_slope,uncertainty_decrease_rate
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,f73aa0c8dc7b,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.1,123,0.09266060930687188,0.3600370359561015,0.3994192369401788,0.9850399999999999,0.07059515511154317,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2463537391596969,0.2463537391596969
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.25,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,aa756ae04476,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.25,308,0.05763073692514921,0.22437054961281808,0.23669849301137005,0.9221699999999999,0.02650419625161736,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2463537391596969,0.2463537391596969
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.5,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,80cbfe8eeeb2,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.5,616,0.04059135773351147,0.15799993600966905,0.16938582000745384,0.97244,0.019067846211325738,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2463537391596969,0.2463537391596969
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.75,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,aeb62ef2a712,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.75,926,0.03358266862955922,0.13088984575584045,0.13875073787553577,0.92281,0.004611407116982628,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2463537391596969,0.2463537391596969
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,05de20984dd7,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,1.0,1234,0.028638525560033483,0.11155082233594832,0.11832134023245325,0.94971,0.0,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2463537391596969,0.2463537391596969
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,2d5a48b6793c,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.1,123,0.08991516870839879,0.328228134161936,0.36804216155900327,0.9855,0.07281658719892203,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.22456662668623378,0.22456662668623378
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.25,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,1c01a14545b4,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.25,308,0.05678765754551102,0.20645076400570575,0.2173798731256645,0.9228999999999999,0.023130676656091146,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.22456662668623378,0.22456662668623378
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.5,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,4daed88ba6f6,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.5,616,0.04001810669895664,0.14434240790168135,0.15385901188764864,0.9736,0.019517768680227712,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.22456662668623378,0.22456662668623378
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_0.75,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,eab3da8ae2f9,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.75,926,0.033473388436454025,0.12178940130070046,0.1298753466149422,0.9238999999999999,0.004511778736706786,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.22456662668623378,0.22456662668623378
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,train_fraction_1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,04a0ff310723,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,1.0,1234,0.028266016604269535,0.10162249263471618,0.10779254430765668,0.9474,0.0,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.22456662668623378,0.22456662668623378
