method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,posterior_mean,posterior_std,ci_lower_95,ci_upper_95,ci_width,p_positive,p_negative,sign_confidence,n_explained_instances,n_train,n_test
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.004395774984341314,0.03167175727647917,-0.05743472450338858,0.06597895487050208,0.12341367937389065,0.5262,0.4738,0.7982,50,1234,138
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6823469375606187,0.017682357308658626,0.6501938710227435,0.7140715304628784,0.06387765944013489,0.82,0.18,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.22074349169398716,0.02380139281506315,0.17827173063768767,0.2633276480805095,0.08505591744282186,0.62,0.38,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.016447674886617115,0.024039249251942764,-0.026835420703154346,0.05978737130931979,0.08662279201247414,0.44,0.56,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.004939521275394377,0.03485288527919085,-0.057090897991998846,0.06662613290737213,0.12371703089937097,0.5192,0.4808,0.7904000000000001,50,1234,138
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7564203806711342,0.01829299457849232,0.7229279794002734,0.7891695476899706,0.06624156828969713,0.88,0.12,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.30689197820318526,0.02923946750475985,0.2549052112311249,0.360706116989253,0.10580090575812806,0.68,0.32,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.06879441311004632,0.032144674306808375,0.012233300342409503,0.12925735683781653,0.11702405649540702,0.58,0.42,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0031462454478008305,0.03305123021344648,-0.055177733985755734,0.06109864634312552,0.11627638032888125,0.48479999999999995,0.5152,0.7888,50,1234,138
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7488390723362757,0.01733802650434862,0.7168783108064295,0.7800105795185023,0.0631322687120727,0.88,0.12,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.3289649602961427,0.02853912293265973,0.27709357157954445,0.38034804372497355,0.10325447214542909,0.74,0.26,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.04230251928933747,0.028825375206671954,-0.009326872157459552,0.09475727242256866,0.10408414458002822,0.54,0.46,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0009065959903707244,0.029954860119401808,-0.05358713240100767,0.0522271815831133,0.10581431398412096,0.5064,0.4936,0.7888,50,1234,138
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6285567313312141,0.017227080730717496,0.5967871995715268,0.659580612716653,0.0627934131451262,0.84,0.16,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.40188868612144885,0.029271093379604464,0.3497851819333377,0.4549455063236039,0.10516032439026624,0.76,0.24,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0702544716168071,0.030494240373319662,0.015310032531142803,0.12573479675618993,0.11042476422504713,0.6,0.4,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.004087508980211135,0.03607165193343651,-0.06623588214841654,0.06187558663000865,0.1281114687784252,0.4864,0.5136,0.7896,50,1234,138
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5539371893952457,0.013731742887125144,0.527992151402285,0.5792421689906537,0.05125001758836888,0.82,0.18,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.27713171349645666,0.025985785758652638,0.23016733889066562,0.32396403912120797,0.09379670023054237,0.66,0.34,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.02093728736534068,0.028163310106897595,-0.030421208167043457,0.07101194792407801,0.10143315609112147,0.5,0.5,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0001335347322650962,0.029227658450534277,-0.05090424389785706,0.05273163795187909,0.10363588184973616,0.5332,0.4668,0.7892,50,1234,138
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7508830493066404,0.019406988387737637,0.7152002000915781,0.7863828071086171,0.07118260701703888,0.8,0.2,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.27556923705208874,0.03163464847276956,0.21848967870995437,0.33278132727551574,0.11429164856556134,0.58,0.42,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.057011279332593784,0.035182843391680985,-0.006845040488399925,0.12208773692731985,0.12893277741571976,0.5,0.5,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.002588109736285259,0.03673655045882026,-0.06323980934370155,0.06791954408429582,0.13115935342799737,0.5192,0.4808,0.7888,50,1234,138
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6789466166718724,0.0177409641563397,0.6474676538013235,0.7111012975405684,0.06363364373924481,0.82,0.18,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.29028812576527113,0.02836419879824602,0.23833568530822613,0.3401990156441017,0.10186333033587555,0.64,0.36,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.04172074205902316,0.028070564983444048,-0.00910358136266982,0.09283030958715205,0.10193389094982187,0.48,0.52,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0019005649063194119,0.0375106716934511,-0.06695919314336775,0.06621912840204314,0.1331783215454109,0.4824,0.5176,0.792,50,1234,138
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5329621062738321,0.015131243324727347,0.5050301032038749,0.5602219033210492,0.055191800117174346,0.78,0.22,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.3191660223127306,0.026788069696730962,0.2710733441534905,0.36759365871763705,0.09652031456414656,0.72,0.28,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.01558006621084639,0.025403030797402935,-0.03075125907230493,0.06127395752968483,0.09202521660198976,0.48,0.52,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.006640402658580195,0.03710764399250069,-0.07128455579703635,0.05930273141790558,0.13058728721494192,0.4208,0.5792,0.7904000000000001,50,1234,138
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6642594767363786,0.016473003043374564,0.6345110791543049,0.6945786018722129,0.06006752271790793,0.84,0.16,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.22047716505867934,0.02290262780277548,0.17921279974315538,0.2623065562761298,0.08309375653297439,0.62,0.38,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.012406841067295114,0.030060156526313647,-0.04036855141699278,0.06942479787410231,0.10979334929109509,0.44,0.56,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0027130534888423342,0.035067550170188526,-0.060916204463720966,0.06439182795513734,0.12530803241885832,0.504,0.496,0.792,50,1234,138
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7012639691973281,0.016823974466836235,0.6698921284748449,0.7318069456036363,0.0619148171287915,0.9,0.1,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.25313563002336337,0.025710489503781218,0.20682707209168527,0.3001739060438015,0.09334683395211624,0.64,0.36,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.030762995252784107,0.028155990289382503,-0.020261416089650933,0.0822392753398093,0.10250069142946022,0.48,0.52,1.0,50,1234,138
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0041380199718663545,0.03114293626106892,-0.050149657785661265,0.05946993642905062,0.10961959421471189,0.516,0.484,0.792,50,1234,138
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.14025033103392454,0.03997145147986424,0.06210580979977499,0.21714765932069455,0.15504184952091957,0.64,0.36,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.13355920242146077,0.04862131516797558,0.03781275566625618,0.2261529433081075,0.18834018764185134,0.74,0.26,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.13285680532233557,0.048902417848734094,0.03740497215029497,0.22670451256738886,0.1892995404170939,0.74,0.26,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0017281248821999185,0.05843440434558836,-0.11245186027252001,0.11541532882301354,0.22786718909553355,0.5126,0.4874,0.78348,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.12328505543709105,0.03818231573544292,0.048882752649272054,0.19664832921191475,0.1477655765626427,0.64,0.36,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.13025235313645744,0.045414932718807394,0.040757209679099925,0.21611415382149052,0.17535694414239061,0.72,0.28,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.13037438970906323,0.04551917618854682,0.04080045124419842,0.2173327848631137,0.17653233361891527,0.72,0.28,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0010716962054777542,0.058475347355339366,-0.11347316127021279,0.11541792301617387,0.2288910842863867,0.5108,0.4892,0.78392,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.15762219282728634,0.03937144841914038,0.08040696611555986,0.2334330720838781,0.15302610596831825,0.66,0.34,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.08938890262995657,0.04560176860018384,-0.00021464499898253388,0.17629003839544174,0.1765046833944243,0.66,0.34,1.0,50,673,75
