dataset_name,task_id,method,train_fraction,n_rows,mean_training_size,mean_mean_posterior_std,mean_mean_ci_width,mean_median_ci_width,mean_mean_sign_confidence,mean_attribution_distance_to_full_train,mean_top_k_jaccard_to_full_train,mean_n_features,mean_n_explained_instances,mean_uncertainty_decrease_slope,mean_uncertainty_decrease_rate,n_seeds,status_ok,status_skipped,status_error,metric_direction
diabetes,37,bayesian_hyb_fpde,1.0,10,691.0,0.03818837623208665,0.14846092875279,0.15172596402972613,0.992155,0.0,1.0,8.0,50.0,-0.311133621784493,0.311133621784493,10,10,0,0,mixed
diabetes,37,bootstrap_fpde,0.1,10,69.0,0.11506789439488863,0.4155984854544461,0.4177588521247938,0.8572900000000001,0.07346835124311178,0.7761904761904762,8.0,50.0,-0.2833839570708344,0.2833839570708344,10,10,0,0,mixed
diabetes,37,bootstrap_fpde,0.25,10,172.0,0.07435894416202564,0.2691683408714733,0.27180944545391983,0.9109349999999999,0.04315070349023939,0.8,8.0,50.0,-0.2833839570708344,0.2833839570708344,10,10,0,0,mixed
diabetes,37,bootstrap_fpde,0.5,10,345.0,0.05305483340745445,0.19234866958753022,0.19609177517416548,0.957705,0.02862069050756147,0.9333333333333333,8.0,50.0,-0.2833839570708344,0.2833839570708344,10,10,0,0,mixed
diabetes,37,bootstrap_fpde,0.75,10,519.0,0.04285043758375255,0.15533041148045373,0.1574993387786649,0.9837,0.01804618170596656,0.9666666666666666,8.0,50.0,-0.2833839570708344,0.2833839570708344,10,10,0,0,mixed
diabetes,37,bootstrap_fpde,1.0,10,691.0,0.03713143631216488,0.13396696991386825,0.13726312959471232,0.9922749999999999,0.0,1.0,8.0,50.0,-0.2833839570708344,0.2833839570708344,10,10,0,0,mixed
wdbc,9946,bayesian_hyb_fpde,0.1,10,51.0,0.10470160862256753,0.40883408057273307,0.39835563905534527,0.9505581333333334,0.06826088413683801,0.6166666666666666,30.0,50.0,-0.2791388772715271,0.2791388772715271,10,10,0,0,mixed
wdbc,9946,bayesian_hyb_fpde,0.25,10,128.0,0.06265354264134512,0.2439793424661743,0.24155292010449778,0.9624822666666667,0.03885214711553483,0.8428571428571429,30.0,50.0,-0.2791388772715271,0.2791388772715271,10,10,0,0,mixed
wdbc,9946,bayesian_hyb_fpde,0.5,10,256.0,0.04477686321922879,0.17433228389945182,0.17066575962613353,0.9615325333333334,0.0248115418059382,0.8,30.0,50.0,-0.2791388772715271,0.2791388772715271,10,10,0,0,mixed
wdbc,9946,bayesian_hyb_fpde,0.75,10,384.0,0.036935998346994646,0.14361015149943385,0.14117113088628175,0.9613304000000001,0.014718548546489952,0.8666666666666666,30.0,50.0,-0.2791388772715271,0.2791388772715271,10,10,0,0,mixed
wdbc,9946,bayesian_hyb_fpde,1.0,10,512.0,0.03178965620947894,0.12345838657043826,0.12253996326208098,0.9547892000000001,0.0,1.0,30.0,50.0,-0.2791388772715271,0.2791388772715271,10,10,0,0,mixed
wdbc,9946,bootstrap_fpde,0.1,10,51.0,0.09925120322013811,0.3590280143401154,0.3520736683297272,0.954224,0.06791844712985959,0.65,30.0,50.0,-0.24114302691984504,0.24114302691984504,10,10,0,0,mixed
wdbc,9946,bootstrap_fpde,0.25,10,128.0,0.060765591013685796,0.2204443677589299,0.21932475039614324,0.9639973333333334,0.03888373371671919,0.8428571428571429,30.0,50.0,-0.24114302691984504,0.24114302691984504,10,10,0,0,mixed
wdbc,9946,bootstrap_fpde,0.5,10,256.0,0.0439320767365307,0.15919931121338152,0.15621149780982493,0.9619466666666666,0.024615262652325432,0.8,30.0,50.0,-0.24114302691984504,0.24114302691984504,10,10,0,0,mixed
wdbc,9946,bootstrap_fpde,0.75,10,384.0,0.03612143989004285,0.13104364938391666,0.12896709539703516,0.9625640000000001,0.01474213967337712,0.8666666666666666,30.0,50.0,-0.24114302691984504,0.24114302691984504,10,10,0,0,mixed
wdbc,9946,bootstrap_fpde,1.0,10,512.0,0.03137134052506133,0.11422178924051869,0.11385808200170806,0.9566800000000001,0.0,1.0,30.0,50.0,-0.24114302691984504,0.24114302691984504,10,10,0,0,mixed
