subject_area,subject_subarea,task_id,dataset_name_mapped,method_display,combined_mean,combined_sd,lambda_mean,lambda_sd
Computer Science / Other,Software engineering quality,3902,pc4,Hyb-FPDE,0.5491393868292374,0.011118509478902732,0.67,0.3301514803843836
Computer Science / Other,Software engineering quality,3902,pc4,LIME,0.3704110797356396,0.02175534704652425,0.67,0.3301514803843836
Computer Science / Other,Software engineering quality,3902,pc4,SHAP,0.3429282894014876,0.020414481880133062,0.67,0.3301514803843836
Computer Science / Other,Software engineering quality,3903,pc3,AIME,0.4875887042734465,0.005629722538545164,0.32999999999999996,0.37431418769679453
Computer Science / Other,Software engineering quality,3903,pc3,Hyb-FPDE,0.48802756993172725,0.005708450098922804,0.32999999999999996,0.37431418769679453
Computer Science / Other,Software engineering quality,3903,pc3,LIME,0.47574334275664765,0.014285482970008354,0.32999999999999996,0.37431418769679453
Computer Science / Other,Software engineering quality,3903,pc3,SHAP,0.3999318653270191,0.016696309217745557,0.32999999999999996,0.37431418769679453
Computer Science / Other,Software engineering quality,3904,jm1,AIME,0.4491525284948321,0.007658209369956187,1.0,0.0
Computer Science / Other,Software engineering quality,3904,jm1,Hyb-FPDE,0.4569841028770232,0.006584675012863645,1.0,0.0
Computer Science / Other,Software engineering quality,3904,jm1,LIME,0.3800987645602222,0.017658275718329196,1.0,0.0
Computer Science / Other,Software engineering quality,3904,jm1,SHAP,0.3436912493233734,0.006844888636089381,1.0,0.0
Computer Science / Other,Software engineering quality,3913,kc2,AIME,0.4724097358283784,0.009072447581010933,0.72,0.38528488738133043
Computer Science / Other,Software engineering quality,3913,kc2,Hyb-FPDE,0.47609811866121843,0.010056618663279195,0.72,0.38528488738133043
Computer Science / Other,Software engineering quality,3913,kc2,LIME,0.44550808536420605,0.033729516088562395,0.72,0.38528488738133043
Computer Science / Other,Software engineering quality,3913,kc2,SHAP,0.4124023033354649,0.029356744533992698,0.72,0.38528488738133043
Computer Science / Other,Software engineering quality,3917,kc1,AIME,0.4563770434326691,0.014537657851533249,0.52,0.373571352696584
Computer Science / Other,Software engineering quality,3917,kc1,Hyb-FPDE,0.45740211226199506,0.016781424785287966,0.52,0.373571352696584
Computer Science / Other,Software engineering quality,3917,kc1,LIME,0.3938025801215957,0.03322448228487609,0.52,0.373571352696584
Computer Science / Other,Software engineering quality,3917,kc1,SHAP,0.3561735313853006,0.027763250634127934,0.52,0.373571352696584
Computer Science / Other,Software engineering quality,3918,pc1,AIME,0.5172974396025847,0.010994072439814534,0.33999999999999997,0.40606512887576157
Computer Science / Other,Software engineering quality,3918,pc1,Hyb-FPDE,0.5179615148241268,0.011986619131223999,0.33999999999999997,0.40606512887576157
Computer Science / Other,Software engineering quality,3918,pc1,LIME,0.4184039825981145,0.037241473223310465,0.33999999999999997,0.40606512887576157
Computer Science / Other,Software engineering quality,3918,pc1,SHAP,0.3780317239284112,0.023730575663234298,0.33999999999999997,0.40606512887576157
Computer Science / Other,Speech and language,3022,vowel,AIME,0.8100505336920782,0.008599908119287946,0.5700000000000001,0.2907843798341918
Computer Science / Other,Speech and language,3022,vowel,Hyb-FPDE,0.6657030003450075,0.012697613435878274,0.5700000000000001,0.2907843798341918
Computer Science / Other,Speech and language,3022,vowel,LIME,0.4583987163417008,0.01771597244987547,0.5700000000000001,0.2907843798341918
Computer Science / Other,Speech and language,3022,vowel,SHAP,0.8420100948114959,0.006528671790303266,0.5700000000000001,0.2907843798341918
Computer Science / Other,Speech and language,3481,isolet,AIME,0.8770419489586911,0.00677778562570722,0.0,0.0
Computer Science / Other,Speech and language,3481,isolet,Hyb-FPDE,0.820795975532401,0.01221746475685529,0.0,0.0
Computer Science / Other,Speech and language,3481,isolet,LIME,0.6203784053471103,0.02125243791933633,0.0,0.0
Computer Science / Other,Speech and language,3481,isolet,SHAP,0.9338603037066802,0.005869711926792871,0.0,0.0
Computer Science / Other,Speech and language,9952,phoneme,AIME,0.504137238283864,0.010342164009493627,0.64,0.4168666186896928
Computer Science / Other,Speech and language,9952,phoneme,Hyb-FPDE,0.5045265161057483,0.009749108359588261,0.64,0.4168666186896928
Computer Science / Other,Speech and language,9952,phoneme,LIME,0.4749391067418734,0.00817209137455664,0.64,0.4168666186896928
Computer Science / Other,Speech and language,9952,phoneme,SHAP,0.42406817300952493,0.00728256997140163,0.64,0.4168666186896928
Computer Science / Other,Symbolic reasoning and theorem proving,9985,first-order-theorem-proving,AIME,0.3789236506948418,0.017646436844183207,0.02,0.0421637021355784
Computer Science / Other,Symbolic reasoning and theorem proving,9985,first-order-theorem-proving,Hyb-FPDE,0.36882416870145845,0.01688542105740746,0.02,0.0421637021355784
Computer Science / Other,Symbolic reasoning and theorem proving,9985,first-order-theorem-proving,LIME,0.27823803024207755,0.016750865485554628,0.02,0.0421637021355784
Computer Science / Other,Symbolic reasoning and theorem proving,9985,first-order-theorem-proving,SHAP,0.48472243254404346,0.014713715534566173,0.02,0.0421637021355784
Computer Science / Other,Web entity resolution and record linkage,9977,nomao,AIME,0.6361571323595671,0.011908412627431204,0.05,0.15811388300841897
Computer Science / Other,Web entity resolution and record linkage,9977,nomao,Hyb-FPDE,0.6409926043546591,0.01216153494714965,0.05,0.15811388300841897
Computer Science / Other,Web entity resolution and record linkage,9977,nomao,LIME,0.4782547799729523,0.050619782001426826,0.05,0.15811388300841897
Computer Science / Other,Web entity resolution and record linkage,9977,nomao,SHAP,0.5309234661515685,0.04381787860782953,0.05,0.15811388300841897
Computer Science / Other,"Web, advertising, spam, and security",43,spambase,AIME,0.7278196009732225,0.012826178096178073,0.51,0.42544094772365293
Computer Science / Other,"Web, advertising, spam, and security",43,spambase,Hyb-FPDE,0.7296410506768627,0.013317745544314079,0.51,0.42544094772365293
Computer Science / Other,"Web, advertising, spam, and security",43,spambase,LIME,0.2147245756749483,0.01618713360677437,0.51,0.42544094772365293
Computer Science / Other,"Web, advertising, spam, and security",43,spambase,SHAP,0.4546856366459032,0.014700177758693632,0.51,0.42544094772365293
Computer Science / Other,"Web, advertising, spam, and security",14952,PhishingWebsites,AIME,0.7635593251084023,0.007974693612369016,0.9,0.18257418583505536
Computer Science / Other,"Web, advertising, spam, and security",14952,PhishingWebsites,Hyb-FPDE,0.7660649347382563,0.008569337610007841,0.9,0.18257418583505536
Computer Science / Other,"Web, advertising, spam, and security",14952,PhishingWebsites,LIME,0.22476638724056702,0.0074695455460046575,0.9,0.18257418583505536
Computer Science / Other,"Web, advertising, spam, and security",14952,PhishingWebsites,SHAP,0.6562419787551089,0.011928990255434297,0.9,0.18257418583505536
Computer Science / Other,"Web, advertising, spam, and security",167125,Internet-Advertisements,AIME,0.599332743293745,0.026924851647351433,0.16999999999999998,0.2626785107312739
Computer Science / Other,"Web, advertising, spam, and security",167125,Internet-Advertisements,Hyb-FPDE,0.6035493745710199,0.028679645286334463,0.16999999999999998,0.2626785107312739
Computer Science / Other,"Web, advertising, spam, and security",167125,Internet-Advertisements,LIME,0.4613555503407577,0.020356886824652344,0.16999999999999998,0.2626785107312739
Computer Science / Other,"Web, advertising, spam, and security",167125,Internet-Advertisements,SHAP,0.5457077237559047,0.031680763096437414,0.16999999999999998,0.2626785107312739
Engineering,Industrial manufacturing and fault detection,14954,cylinder-bands,AIME,0.6722440628355295,0.026611539563919668,0.6599999999999999,0.39777157040470124
Engineering,Industrial manufacturing and fault detection,14954,cylinder-bands,Hyb-FPDE,0.6754884308062158,0.024557964509441074,0.6599999999999999,0.39777157040470124
Engineering,Industrial manufacturing and fault detection,14954,cylinder-bands,LIME,0.2434048280451467,0.039299892406798424,0.6599999999999999,0.39777157040470124
Engineering,Industrial manufacturing and fault detection,14954,cylinder-bands,SHAP,0.4973476691972009,0.025197888755186363,0.6599999999999999,0.39777157040470124
Engineering,Industrial manufacturing and fault detection,146817,steel-plates-fault,AIME,0.5493617272874779,0.018961739420512592,0.22000000000000003,0.1549193338482967
Engineering,Industrial manufacturing and fault detection,146817,steel-plates-fault,Hyb-FPDE,0.5933644492327819,0.01333667831994367,0.22000000000000003,0.1549193338482967
Engineering,Industrial manufacturing and fault detection,146817,steel-plates-fault,LIME,0.3807913656388043,0.04090533484810776,0.22000000000000003,0.1549193338482967
Engineering,Industrial manufacturing and fault detection,146817,steel-plates-fault,SHAP,0.7361015607667587,0.008068086534271556,0.22000000000000003,0.1549193338482967
Engineering,"Sensors, gestures, robotics, and activity recognition",9960,wall-robot-navigation,AIME,0.6723591955320632,0.01847183812248859,0.13,0.21628170930011112
Engineering,"Sensors, gestures, robotics, and activity recognition",9960,wall-robot-navigation,Hyb-FPDE,0.6432678121541351,0.024969293881299207,0.13,0.21628170930011112
Engineering,"Sensors, gestures, robotics, and activity recognition",9960,wall-robot-navigation,LIME,0.3974188149388658,0.035935942284609355,0.13,0.21628170930011112
